stock_code,company_name,exchange,report_year,annual_status,esg_status,next_action,priority
00702.HK,SINO OIL & GAS,HKEX,2025,missing,missing,discover_annual_and_esg,1
01101.HK,HUARONG ENERGY,HKEX,2025,missing,missing,discover_annual_and_esg,1
920010.BJ,凯添燃气,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920046.BJ,亿能电力,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920062.BJ,科润智控,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920110.BJ,雷特科技,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920152.BJ,昆工科技,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920167.BJ,同享科技,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920185.BJ,贝特瑞,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920237.BJ,力佳科技,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920239.BJ,长虹能源,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920252.BJ,天宏锂电,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920299.BJ,灿能电力,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920368.BJ,连城数控,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920375.BJ,派诺科技,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920414.BJ,欧普泰,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920496.BJ,许昌智能,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920522.BJ,纳科诺尔,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920523.BJ,德瑞锂电,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920556.BJ,雅达股份,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920627.BJ,力王股份,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920639.BJ,晨光电缆,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920682.BJ,球冠电缆,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920770.BJ,艾能聚,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920779.BJ,武汉蓝电,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920809.BJ,安达科技,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920914.BJ,远航精密,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
920985.BJ,海泰新能,BSE,2025,collected,missing,discover_esg_or_scan_annual,2
00002.HK,CLP HOLDINGS,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
00065.HK,GRAND OCEAN AR,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
00206.HK,CM-ENERGY,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
00276.HK,MONGOLIA ENERGY,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
00295.HK,KONG SUN HOLD,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
00332.HK,YUANHENGGAS-NEW,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
00600.HK,AXERA,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
00632.HK,CHK OIL,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
00639.HK,SHOUGANG RES,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
00645.HK,ARES ASIA,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
