company_code,company_name,report_year,indicator_code,value,status,source_url,source_file,source_page,evidence_text,confidence
00196.HK,HONGHUA GROUP,2025,Q_S_RD_RATE,5.2,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042703116.pdf,data/raw/hkex_reports/00196.HK/2025/annual_report.pdf,6,"r, an increase of 11.31% over the past year. R&D investment intensity was 5.2%, a year-on-year increase of 0.64 percentage",0.93
00196.HK,HONGHUA GROUP,2025,Q_S_RD_RATE,2.9776,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042703116.pdf,data/raw/hkex_reports/00196.HK/2025/annual_report.pdf,75,"English consolidated income statement derived: Research and development expenses 6 (163,572) (150,457) | Revenue 4 5,493,330 5,633,410",0.93
00196.HK,HONGHUA GROUP,2025,Q_S_RD_RATE,5.2,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042703134.pdf,data/raw/hkex_reports/00196.HK/2025/esg_report.pdf,21,"nting a year-on-year increase of 11.67%. The R&D intensity reached 5.2%, up by 0.69 percentage points year-on-year,",0.93
00600.HK,AXERA,2025,Q_E_GHG_INTENSITY,12.5,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042800542.pdf,data/raw/hkex_reports/00600.HK/2025/annual_report.pdf,77,English revenue intensity: Greenhouse gas emission intensity (Scope 1 & Scope 2) tCO2e/revenue of RMB in million 1.25,0.92
00600.HK,AXERA,2025,Q_E_GHG_INTENSITY,7003.1,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042800542.pdf,data/raw/hkex_reports/00600.HK/2025/annual_report.pdf,85,English revenue intensity: Greenhouse gas emission intensity (Scope 1 & Scope 2) tCO2e/revenue of RMB in million 700.31,0.92
01205.HK,CITIC RESOURCES,2025,Q_E_GHG_REDUCTION_RATE,-14.2513,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042901100.pdf,data/raw/hkex_reports/01205.HK/2025/esg_report.pdf,33,"English same-scope GHG table derived: Total GHG Emission (Scope 1 and Scope 2) tonnes of CO2e 132,134.21 115,652.29",0.93
01205.HK,CITIC RESOURCES,2025,Q_E_GHG_REDUCTION_RATE,-14.2506,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042901100.pdf,data/raw/hkex_reports/01205.HK/2025/esg_report.pdf,64,"English same-scope GHG table derived: Total GHG Emission (Scope 1 and Scope 2) Tonnes of CO2e 132,134.21 115,652.99",0.93
01250.HK,SDHS NEW ENERGY,2025,Q_S_SAFETY_INVEST_RATE,1.77,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042302482.pdf,data/raw/hkex_reports/01250.HK/2025/esg_report.pdf,58,"y education training attendance 10,291 9,020 Proportion of safety production investment38 % / 1.77 Community investment amount RMB10,000 1,406.",0.94
01798.HK,DATANG RENEW,2025,Q_S_SAFETY_INVEST_RATE,4.41,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802732.pdf,data/raw/hkex_reports/01798.HK/2025/annual_report.pdf,165,"ment RMB10,000 55,147.00 45,698.99 31,692.00 Work safety investment as % of % 4.41 3.63 2.48 revenue Personal protective equipment expenditure RM",0.94
03337.HK,ANTON OILFIELD,2025,Q_E_ALTERNATIVE_WATER_RATE,8.53,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042903319.pdf,data/raw/hkex_reports/03337.HK/2025/esg_report.pdf,24,.12 thousand cubic -28.7% meters/RMB million Proportion of the recycled water consumption 8.53% 2026 Target Water consumption per revenue 11,0.93
03337.HK,ANTON OILFIELD,2025,Q_E_ALTERNATIVE_WATER_RATE,8.53,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042903319.pdf,data/raw/hkex_reports/03337.HK/2025/esg_report.pdf,51,MB million Wastewater discharged per revenue Proportion of the recycled water consumption 8.53 % Total wastewater discharged 10.62 Ten thousa,0.93
03337.HK,ANTON OILFIELD,2025,Q_S_DONATION_RATE,0.03,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042903319.pdf,data/raw/hkex_reports/03337.HK/2025/esg_report.pdf,53,welfare donation amount 181 RMB ten thousand Proportion of donation total in revenue 0.03 % Governance Performance Indicators 2025 Unit,0.94
