company_code,company_name,report_year,document_type,source_url,published_date,title,headline,stock_id
00002.HK,CLP HOLDINGS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031100298.pdf,2026-03-11,"2025 Annual Report (Integrated Report) (with linked 2025 Sustainability Report, 2025 Materiality Assessment Report and Climate Vision 2050)","Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",2
00003.HK,HK & CHINA GAS,0,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801254.pdf,2026-04-28,Annual Report,Financial Statements/ESG Information - [Annual Report],3
00003.HK,HK & CHINA GAS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801669.pdf,2026-04-28,"Environmental, Social and Governance Report 2025","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",3
00006.HK,POWER ASSETS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042100656.pdf,2026-04-21,Annual Report 2025,Financial Statements/ESG Information - [Annual Report],6
00006.HK,POWER ASSETS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042100680.pdf,2026-04-21,Sustainability Report 2025,"Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",6
00042.HK,NE ELECTRIC,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042906260.pdf,2026-04-29,Annual Report 2025,Financial Statements/ESG Information - [Annual Report],62
00042.HK,NE ELECTRIC,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042900377.pdf,2026-04-29,"Environmental,Social and Governance Report 2025","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",62
00061.HK,GREEN LEADER,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0424/2026042400838.pdf,2026-04-24,2025 ANNUAL REPORT,Financial Statements/ESG Information - [Annual Report],99
00061.HK,GREEN LEADER,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0424/2026042400920.pdf,2026-04-24,"2025 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",99
00065.HK,GRAND OCEAN AR,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802772.pdf,2026-04-28,Annual Report 2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",35207
00135.HK,KUNLUN ENERGY,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043002625.pdf,2026-04-30,2025 ANNUAL REPORT,Financial Statements/ESG Information - [Annual Report],229
00135.HK,KUNLUN ENERGY,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043002783.pdf,2026-04-30,"2025 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",229
00182.HK,CONCORD NE,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702254.pdf,2026-04-27,Annual Report 2025,Financial Statements/ESG Information - [Annual Report],325
00182.HK,CONCORD NE,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702376.pdf,2026-04-27,"2025 Environmental, Social and Governance Report","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",325
00196.HK,HONGHUA GROUP,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042703116.pdf,2026-04-27,ANNUAL REPORT 2025,Financial Statements/ESG Information - [Annual Report],21531
00196.HK,HONGHUA GROUP,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042703134.pdf,2026-04-27,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2025","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",21531
00206.HK,CM-ENERGY,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043001000.pdf,2026-04-30,ANNUAL REPORT 2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",34611
00228.HK,CHINA ENERGY,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042902276.pdf,2026-04-29,Annual Report 2025,Financial Statements/ESG Information - [Annual Report],409
00228.HK,CHINA ENERGY,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042902658.pdf,2026-04-29,"2025 Environmental, Social and Governance Report","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",409
00228.HK,CHINAENERGY-NEW,0,listing_document,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1202/2025120200196.pdf,2025-12-02,EXCESS APPLICATION FORM,Listing Documents - [Rights Issue],409
00276.HK,MONGOLIA ENERGY,2026,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0723/2026072300316.pdf,2026-07-23,ANNUAL REPORT 2026,Financial Statements/ESG Information - [Annual Report],486
00276.HK,MONGOLIA ENERGY,2026,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0723/2026072300568.pdf,2026-07-23,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2026","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",486
00295.HK,KONG SUN HOLD,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803631.pdf,2026-04-28,Annual Report 2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",519
00332.HK,YUANHENGGAS-NEW,2026,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0727/2026072700847.pdf,2026-07-27,ANNUAL REPORT 2026,Financial Statements/ESG Information - [Annual Report],600
00332.HK,YUANHENGGAS-NEW,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0727/2026072700855.pdf,2026-07-27,"Environmental, social and governance report 2025/26","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",600
00346.HK,YANCHANG PETRO,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042101286.pdf,2026-04-21,ANNUAL REPORT 2025,Financial Statements/ESG Information - [Annual Report],638
00346.HK,YANCHANG PETRO,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042101308.pdf,2026-04-21,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2025","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",638
00353.HK,ENERGY INTINV,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072500637.pdf,2025-07-25,Annual Report 2024/25,Financial Statements/ESG Information - [Annual Report],666
00353.HK,ENERGY INTINV,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072500817.pdf,2025-07-25,"2024/25 Environmental, Social and Governance Report","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",666
00384.HK,CHINA GAS HOLD,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0727/2026072700334.pdf,2026-07-27,2025/26 Annual Report,Financial Statements/ESG Information - [Annual Report],772
00384.HK,CHINA GAS HOLD,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0727/2026072700594.pdf,2026-07-27,Sustainability Report 2025/26,"Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",772
00392.HK,BEIJING ENT,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042902244.pdf,2026-04-29,2025 Annual Report,Financial Statements/ESG Information - [Annual Report],788
00392.HK,BEIJING ENT,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042902847.pdf,2026-04-29,2025 Sustainability Report,"Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",788
00451.HK,GCL NEWENERGY,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802107.pdf,2026-04-28,ANNUAL REPORT 2025,Financial Statements/ESG Information - [Annual Report],901
00451.HK,GCL NEWENERGY,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802561.pdf,2026-04-28,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2025","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",901
00451.HK,GCL NEWENERGY,0,name_change_announcement,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0617/2026061701556.pdf,2026-06-17,"CHANGE OF COMPANY NAME, STOCK SHORT NAME AND COMPANY WEBSITE",Announcements and Notices - [Change of Company Name / Trading Arrangements (other than Change in Board Lot Size) / Change... More,901
00467.HK,UNITEDENERGY GP,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043000239.pdf,2026-04-30,2025 Annual Report,Financial Statements/ESG Information - [Annual Report],943
00467.HK,UNITEDENERGY GP,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043000243.pdf,2026-04-30,"2025 Environmental, Social and Governance Report","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",943
00554.HK,HANS GP HLDGS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042301297.pdf,2026-04-23,ANNUAL REPORT 2025,Financial Statements/ESG Information - [Annual Report],1181
00554.HK,HANS GP HLDGS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042301739.pdf,2026-04-23,"NOTIFICATION LETTER WITH REQUEST FORM TO NON-REGISTERED SHAREHOLDERS - NOTICE OF PUBLICATION OF (1) ANNUAL REPORT 2025; (2) ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2025; (3) CIRCULAR DATED 24 APRIL 2026; (4) NOTICE OF 2026 ANNUAL GENERAL MEETING; AND (5) FORM OF PROXY FOR THE 2026 ANNUAL GENERAL MEETING",Circulars - [Other],1181
00579.HK,JNCEC,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803989.pdf,2026-04-28,Annual Report 2025,Financial Statements/ESG Information - [Annual Report],63861
00579.HK,JNCEC,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042804003.pdf,2026-04-28,"2025 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",63861
00600.HK,AXERA,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042800542.pdf,2026-04-28,2025 ANNUAL REPORT,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",1000291040
00600.HK,AXERA,0,listing_document,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0130/2026013000009.pdf,2026-01-30,GLOBAL OFFERING,Listing Documents - [Offer for Subscription],1000291040
00607.HK,FULLSHARE,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0626/2026062601793.pdf,2026-06-26,Annual Report 2025,Financial Statements/ESG Information - [Annual Report],1413
00607.HK,FULLSHARE,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0626/2026062601805.pdf,2026-06-26,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2025","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",1413
00632.HK,CHK OIL,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042300354.pdf,2026-04-23,Annual Report 2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",1465
00639.HK,SHOUGANG RES,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043000571.pdf,2026-04-30,Annual Report 2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",1489
00645.HK,ARES ASIA,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0720/2026072001465.pdf,2026-07-20,ANNUAL REPORT 2025/2026,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",1506
00650.HK,PRODUCTIVE TECH,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000464.pdf,2025-07-30,Annual Report 2024/2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",1516
00666.HK,REPT BATTERO,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042902781.pdf,2026-04-29,2025 Annual Report,Financial Statements/ESG Information - [Annual Report],1000209973
00666.HK,REPT BATTERO,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042903361.pdf,2026-04-29,"2025 Environmental, Social and Governance (ESG) Report","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",1000209973
00686.HK,BJ ENERGY INTL,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042300710.pdf,2026-04-23,ANNUAL REPORT 2025,Financial Statements/ESG Information - [Annual Report],1595
