company_code,company_name,report_year,document_type,source_url,published_date,title,headline,stock_id
00002.HK,CLP HOLDINGS,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0307/2025030700409.pdf,2025-03-07,2024 Annual Report (Integrated Report) (with linked Sustainability Report and Climate Vision 2050),"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",2
00002.HK,CLP HOLDINGS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031100298.pdf,2026-03-11,"2025 Annual Report (Integrated Report) (with linked 2025 Sustainability Report, 2025 Materiality Assessment Report and Climate Vision 2050)","Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",2
00003.HK,HK & CHINA GAS,0,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0319/2025031900552.pdf,2025-03-19,"Terms of Reference of the Board Environmental, Social and Governance Committee",Announcements and Notices - [Terms of Reference of Other Board Committees],3
00003.HK,HK & CHINA GAS,0,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0423/2025042300667.pdf,2025-04-23,Annual Report,Financial Statements/ESG Information - [Annual Report],3
00003.HK,HK & CHINA GAS,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0423/2025042301141.pdf,2025-04-23,"Letter to New Registered Shareholders and Reply Form - Publication of 2024 Annual Report, Circular and Proxy Form, Environmental, Social and Governance Report 2024 and Arrangement of Electronic Dissemination of Corporate Communications",Circulars - [Other],3
00003.HK,HK & CHINA GAS,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0423/2025042301217.pdf,2025-04-23,"Letter to Existing Registered Shareholders and Reply Form - Publication of 2024 Annual Report, Circular and Proxy Form, Environmental, Social and Governance Report 2024 and Arrangement of Electronic Dissemination of Corporate Communications",Circulars - [Other],3
00003.HK,HK & CHINA GAS,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0423/2025042301282.pdf,2025-04-23,"Letter to Non-Registered Holders and Reply Form - Publication of 2024 Annual Report, Circular, Environmental, Social and Governance Report 2024 and Arrangement of Electronic Dissemination of Corporate Communications",Circulars - [Other],3
00003.HK,HK & CHINA GAS,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0423/2025042301446.pdf,2025-04-23,"Environmental, Social and Governance Report 2024","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",3
00003.HK,HK & CHINA GAS,0,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801254.pdf,2026-04-28,Annual Report,Financial Statements/ESG Information - [Annual Report],3
00003.HK,HK & CHINA GAS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801518.pdf,2026-04-28,"Letter to Registered Shareholders and Reply Form - Publication of 2025 Annual Report, Circular and Proxy Form, Environmental, Social and Governance Report 2025 and New Arrangement of Electronic Dissemination of Corporate Communications",Circulars - [Other],3
00003.HK,HK & CHINA GAS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801564.pdf,2026-04-28,"Letter to Non-Registered Holders and Reply Form - Publication of 2025 Annual Report, Circular, Environmental, Social and Governance Report 2025 and New Arrangement of Electronic Dissemination of Corporate Communications",Circulars - [Other],3
00003.HK,HK & CHINA GAS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801669.pdf,2026-04-28,"Environmental, Social and Governance Report 2025","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",3
00006.HK,POWER ASSETS,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0422/2025042200539.pdf,2025-04-22,Annual Report 2024,Financial Statements/ESG Information - [Annual Report],6
00006.HK,POWER ASSETS,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0422/2025042200763.pdf,2025-04-22,Sustainability Report 2024,"Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",6
00006.HK,POWER ASSETS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042100656.pdf,2026-04-21,Annual Report 2025,Financial Statements/ESG Information - [Annual Report],6
00006.HK,POWER ASSETS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042100680.pdf,2026-04-21,Sustainability Report 2025,"Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",6
00042.HK,NE ELECTRIC,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0428/2025042804043.pdf,2025-04-28,"Environmental, Social and Governance Report 2024","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",62
00042.HK,NE ELECTRIC,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0428/2025042804727.pdf,2025-04-28,Annual Report 2024,Financial Statements/ESG Information - [Annual Report],62
00042.HK,NE ELECTRIC,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042900377.pdf,2026-04-29,"Environmental,Social and Governance Report 2025","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",62
00042.HK,NE ELECTRIC,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042906260.pdf,2026-04-29,Annual Report 2025,Financial Statements/ESG Information - [Annual Report],62
00061.HK,GREEN LEADER,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0428/2025042801367.pdf,2025-04-28,ANNUAL REPORT 2024,Financial Statements/ESG Information - [Annual Report],99
00061.HK,GREEN LEADER,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0428/2025042801433.pdf,2025-04-28,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",99
00061.HK,GREEN LEADER,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0424/2026042400838.pdf,2026-04-24,2025 ANNUAL REPORT,Financial Statements/ESG Information - [Annual Report],99
00061.HK,GREEN LEADER,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0424/2026042400920.pdf,2026-04-24,"2025 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",99
00065.HK,GRAND OCEAN AR,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0729/2025072900863.pdf,2025-07-29,Annual Report 2024,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",35207
00065.HK,GRAND OCEAN AR,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802772.pdf,2026-04-28,Annual Report 2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",35207
00135.HK,KUNLUN ENERGY,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0430/2025043002578.pdf,2025-04-30,2024 ANNUAL REPORT,Financial Statements/ESG Information - [Annual Report],229
00135.HK,KUNLUN ENERGY,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0430/2025043002618.pdf,2025-04-30,"2024 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",229
00135.HK,KUNLUN ENERGY,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043002625.pdf,2026-04-30,2025 ANNUAL REPORT,Financial Statements/ESG Information - [Annual Report],229
00135.HK,KUNLUN ENERGY,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043002783.pdf,2026-04-30,"2025 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",229
00182.HK,CONCORD NE,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0411/2025041101191.pdf,2025-04-11,Annual Report 2024,Financial Statements/ESG Information - [Annual Report],325
00182.HK,CONCORD NE,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0411/2025041101209.pdf,2025-04-11,"2024 Environmental, Social and Governance Report","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",325
00182.HK,CONCORD NE,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702254.pdf,2026-04-27,Annual Report 2025,Financial Statements/ESG Information - [Annual Report],325
00182.HK,CONCORD NE,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702376.pdf,2026-04-27,"2025 Environmental, Social and Governance Report","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",325
00182.HK,CONCORD NE,0,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0709/2026070901137.pdf,2026-07-09,"APPOINTMENT OF INDEPENDENT NON-EXECUTIVE DIRECTOR AND CHANGES IN THE ENVIRONMENTAL, SOCIAL AND GOVERNANCE COMMITTEE",Announcements and Notices - [Change in Directors or of Important Executive Functions or Responsibilities],325
00196.HK,HONGHUA GROUP,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0429/2025042901247.pdf,2025-04-29,ANNUAL REPORT 2024,Financial Statements/ESG Information - [Annual Report],21531
00196.HK,HONGHUA GROUP,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0429/2025042901568.pdf,2025-04-29,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",21531
00196.HK,HONGHUA GROUP,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042703116.pdf,2026-04-27,ANNUAL REPORT 2025,Financial Statements/ESG Information - [Annual Report],21531
00196.HK,HONGHUA GROUP,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042703134.pdf,2026-04-27,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2025","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",21531
00206.HK,CM-ENERGY,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0417/2025041700005.pdf,2025-04-17,ANNUAL REPORT 2024,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",34611
00206.HK,CM-ENERGY,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043001000.pdf,2026-04-30,ANNUAL REPORT 2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",34611
00332.HK,YUANHENG GAS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073001292.pdf,2025-07-30,ANNUAL REPORT 2025,Financial Statements/ESG Information - [Annual Report],600
00332.HK,YUANHENG GAS,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073001294.pdf,2025-07-30,"Environmental, social and governance report 2024/25","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",600
00332.HK,YUANHENGGAS-NEW,2026,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0727/2026072700847.pdf,2026-07-27,ANNUAL REPORT 2026,Financial Statements/ESG Information - [Annual Report],600
00332.HK,YUANHENGGAS-NEW,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0727/2026072700855.pdf,2026-07-27,"Environmental, social and governance report 2025/26","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",600
00346.HK,YANCHANG PETRO,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0423/2025042300593.pdf,2025-04-23,ANNUAL REPORT 2024,Financial Statements/ESG Information - [Annual Report],638
00346.HK,YANCHANG PETRO,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0423/2025042300731.pdf,2025-04-23,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",638
00346.HK,YANCHANG PETRO,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042101286.pdf,2026-04-21,ANNUAL REPORT 2025,Financial Statements/ESG Information - [Annual Report],638
00346.HK,YANCHANG PETRO,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042101308.pdf,2026-04-21,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2025","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",638
00353.HK,ENERGY INTINV,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072500637.pdf,2025-07-25,Annual Report 2024/25,Financial Statements/ESG Information - [Annual Report],666
00353.HK,ENERGY INTINV,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072500817.pdf,2025-07-25,"2024/25 Environmental, Social and Governance Report","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",666
00384.HK,CHINA GAS HOLD,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0729/2025072900101.pdf,2025-07-29,2024/25 Annual Report,Financial Statements/ESG Information - [Annual Report],772
00384.HK,CHINA GAS HOLD,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0729/2025072900117.pdf,2025-07-29,Sustainability Report 2024/25,"Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",772
00384.HK,CHINA GAS HOLD,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0727/2026072700334.pdf,2026-07-27,2025/26 Annual Report,Financial Statements/ESG Information - [Annual Report],772
00384.HK,CHINA GAS HOLD,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0727/2026072700594.pdf,2026-07-27,Sustainability Report 2025/26,"Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",772
00451.HK,GCL NEWENERGY,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0428/2025042803271.pdf,2025-04-28,ANNUAL REPORT 2024,Financial Statements/ESG Information - [Annual Report],901
00451.HK,GCL NEWENERGY,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0428/2025042803417.pdf,2025-04-28,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",901
00451.HK,GCL NEWENERGY,0,name_change_announcement,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0330/2026033001912.pdf,2026-03-30,PROPOSED CHANGE OF COMPANY NAME,Announcements and Notices - [Change of Company Name],901
00451.HK,GCL NEWENERGY,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802107.pdf,2026-04-28,ANNUAL REPORT 2025,Financial Statements/ESG Information - [Annual Report],901
00451.HK,GCL NEWENERGY,0,name_change_announcement,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802231.pdf,2026-04-28,"PROPOSALS FOR (1) RE-ELECTION OF DIRECTORS, (2) GENERAL MANDATES TO ISSUE AND REPURCHASE SHARES, (3) PROPOSED CHANGE OF COMPANY NAME, (4) PROPOSED ADOPTION OF THE SHARE AWARD SCHEME AND NOTICE OF ANNUAL GENERAL MEETING",Circulars - [General Mandate / Re-election or Appointment of Director subject to Shareholders' Approval / Explanatory... More,901
00451.HK,GCL NEWENERGY,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802561.pdf,2026-04-28,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2025","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",901
00451.HK,GCL NEWENERGY,0,name_change_announcement,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0617/2026061701556.pdf,2026-06-17,"CHANGE OF COMPANY NAME, STOCK SHORT NAME AND COMPANY WEBSITE",Announcements and Notices - [Change of Company Name / Trading Arrangements (other than Change in Board Lot Size) / Change... More,901
00467.HK,UNITEDENERGY GP,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0430/2025043000015.pdf,2025-04-30,2024 Annual Report,Financial Statements/ESG Information - [Annual Report],943
00467.HK,UNITEDENERGY GP,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0430/2025043000039.pdf,2025-04-30,"2024 Environmental, Social and Governance Report","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",943
00467.HK,UNITEDENERGY GP,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0911/2025091101102.pdf,2025-09-11,SUPPLEMENTAL ANNOUNCEMENT FOR 2024 ANNUAL REPORT,Announcements and Notices - [Revision of Published Financial Statements and Reports],943
00467.HK,UNITEDENERGY GP,2018,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0122/2026012200593.pdf,2026-01-22,"ANNOUNCEMENT - INFORMATION SUPPLEMENTAL TO THE 2018, 2019 AND 2020 ANNUAL REPORTS",Announcements and Notices - [Revision of Published Financial Statements and Reports],943
00467.HK,UNITEDENERGY GP,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043000239.pdf,2026-04-30,2025 Annual Report,Financial Statements/ESG Information - [Annual Report],943
00467.HK,UNITEDENERGY GP,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043000243.pdf,2026-04-30,"2025 Environmental, Social and Governance Report","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",943
00554.HK,HANS GP HLDGS,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0424/2025042401566.pdf,2025-04-24,ANNUAL REPORT 2024,Financial Statements/ESG Information - [Annual Report],1181
00554.HK,HANS GP HLDGS,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0424/2025042401609.pdf,2025-04-24,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",1181
00554.HK,HANS GP HLDGS,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0424/2025042401829.pdf,2025-04-24,"NOTIFICATION LETTER WITH REPLY FORM TO REGISTERED SHAREHOLDERS - NOTICE OF PUBLICATION OF (1) ANNUAL REPORT 2024; (2) ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024; (3) CIRCULAR DATED 25 APRIL 2025; (4) NOTICE OF 2025 ANNUAL GENERAL MEETING; AND (5) FORM OF PROXY FOR THE 2025 ANNUAL GENERAL MEETING",Circulars - [Other],1181
00554.HK,HANS GP HLDGS,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0424/2025042401851.pdf,2025-04-24,"NOTIFICATION LETTER WITH REQUEST FORM TO NON-REGISTERED SHAREHOLDERS - NOTICE OF PUBLICATION OF (1) ANNUAL REPORT 2024; (2) ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024; (3) CIRCULAR DATED 25 APRIL 2025; (4) NOTICE OF 2025 ANNUAL GENERAL MEETING; AND (5) FORM OF PROXY FOR THE 2025 ANNUAL GENERAL MEETING",Circulars - [Other],1181
00554.HK,HANS GP HLDGS,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042301297.pdf,2026-04-23,ANNUAL REPORT 2025,Financial Statements/ESG Information - [Annual Report],1181
00554.HK,HANS GP HLDGS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042301367.pdf,2026-04-23,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2025","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",1181
00554.HK,HANS GP HLDGS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042301689.pdf,2026-04-23,"NOTIFICATION LETTER WITH REPLY FORM TO REGISTERED SHAREHOLDERS - NOTICE OF PUBLICATION OF (1) ANNUAL REPORT 2025; (2) ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2025; (3) CIRCULAR DATED 24 APRIL 2026; (4) NOTICE OF 2026 ANNUAL GENERAL MEETING; AND (5) FORM OF PROXY FOR THE 2026 ANNUAL GENERAL MEETING",Circulars - [Other],1181
00554.HK,HANS GP HLDGS,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042301739.pdf,2026-04-23,"NOTIFICATION LETTER WITH REQUEST FORM TO NON-REGISTERED SHAREHOLDERS - NOTICE OF PUBLICATION OF (1) ANNUAL REPORT 2025; (2) ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2025; (3) CIRCULAR DATED 24 APRIL 2026; (4) NOTICE OF 2026 ANNUAL GENERAL MEETING; AND (5) FORM OF PROXY FOR THE 2026 ANNUAL GENERAL MEETING",Circulars - [Other],1181
00579.HK,JNCEC,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0430/2025043003493.pdf,2025-04-30,Annual Report 2024,Financial Statements/ESG Information - [Annual Report],63861
00579.HK,JNCEC,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0430/2025043003515.pdf,2025-04-30,"2024 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",63861
00579.HK,JNCEC,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803989.pdf,2026-04-28,Annual Report 2025,Financial Statements/ESG Information - [Annual Report],63861
00579.HK,JNCEC,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042804003.pdf,2026-04-28,"2025 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",63861
00600.HK,AXERA,0,listing_document,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0130/2026013000005.pdf,2026-01-30,Global Offering,Announcements and Notices - [Formal Notice],1000291040
00600.HK,AXERA,0,listing_document,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0130/2026013000009.pdf,2026-01-30,GLOBAL OFFERING,Listing Documents - [Offer for Subscription],1000291040
00600.HK,AXERA,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042800542.pdf,2026-04-28,2025 ANNUAL REPORT,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",1000291040
00607.HK,FULLSHARE,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0429/2025042904054.pdf,2025-04-29,Annual Report 2024,Financial Statements/ESG Information - [Annual Report],1413
00607.HK,FULLSHARE,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0429/2025042904078.pdf,2025-04-29,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",1413
00607.HK,FULLSHARE,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0626/2026062601793.pdf,2026-06-26,Annual Report 2025,Financial Statements/ESG Information - [Annual Report],1413
00607.HK,FULLSHARE,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0626/2026062601805.pdf,2026-06-26,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2025","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",1413
00639.HK,SHOUGANG RES,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0429/2025042901167.pdf,2025-04-29,Annual Report 2024,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",1489
00639.HK,SHOUGANG RES,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043000571.pdf,2026-04-30,Annual Report 2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",1489
00645.HK,ARES ASIA,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0721/2025072100474.pdf,2025-07-21,ANNUAL REPORT 2024/2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",1506
00645.HK,ARES ASIA,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0720/2026072001465.pdf,2026-07-20,ANNUAL REPORT 2025/2026,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",1506
00650.HK,PRODUCTIVE TECH,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0730/2025073000464.pdf,2025-07-30,Annual Report 2024/2025,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",1516
00666.HK,REPT BATTERO,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0417/2025041701497.pdf,2025-04-17,2024 Annual Report,Financial Statements/ESG Information - [Annual Report],1000209973
00666.HK,REPT BATTERO,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0417/2025041701521.pdf,2025-04-17,"2024 Environmental, Social and Governance (ESG) Report","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",1000209973
00666.HK,REPT BATTERO,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042902781.pdf,2026-04-29,2025 Annual Report,Financial Statements/ESG Information - [Annual Report],1000209973
00666.HK,REPT BATTERO,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042903361.pdf,2026-04-29,"2025 Environmental, Social and Governance (ESG) Report","Financial Statements/ESG Information - [Environmental, Social and Governance Information/Report]",1000209973
00686.HK,BJ ENERGY INTL,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042501257.pdf,2025-04-25,ANNUAL REPORT 2024,Financial Statements/ESG Information - [Annual Report],1595
