stock_code,current_stock_code,company_name,exchange,matched_snapshot,evidence_file,evidence_pages
600900.SH,600900.SH,长江电力,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600995.SH,600995.SH,南网储能,SSE,True,data/reference/2025_top200_ocr.txt,67-72
02688.HK,02688.HK,ENN ENERGY,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
300274.SZ,300274.SZ,阳光电源,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
601567.SH,601567.SH,三星电气,SSE,True,data/reference/2025_top200_ocr.txt,67-72
00135.HK,00135.HK,KUNLUN ENERGY,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
002911.SZ,002911.SZ,佛燃能源,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
00686.HK,00686.HK,BJ ENERGY INTL,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
688676.SH,688676.SH,金盘科技,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600339.SH,600339.SH,中油工程,SSE,True,data/reference/2025_top200_ocr.txt,67-72
688408.SH,688408.SH,中信博,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600406.SH,600406.SH,国电南瑞,SSE,True,data/reference/2025_top200_ocr.txt,67-72
000400.SZ,000400.SZ,许继电气,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
688248.SH,688248.SH,南网科技,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600968.SH,600968.SH,海油发展,SSE,True,data/reference/2025_top200_ocr.txt,67-72
603031.SH,603031.SH,安孚科技,SSE,True,data/reference/2025_top200_ocr.txt,67-72
603606.SH,603606.SH,东方电缆,SSE,True,data/reference/2025_top200_ocr.txt,67-72
01193.HK,01193.HK,CHINA RES GAS,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
301327.SZ,301327.SZ,华宝新能,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
601877.SH,601877.SH,正泰电器,SSE,True,data/reference/2025_top200_ocr.txt,67-72
002706.SZ,002706.SZ,良信股份,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
601126.SH,601126.SH,四方股份,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600885.SH,600885.SH,宏发股份,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600956.SH,600956.SH,新天绿能,SSE,True,data/reference/2025_top200_ocr.txt,67-72
00956.HK,00956.HK,CHINA SUNTIEN,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
601179.SH,601179.SH,中国西电,SSE,True,data/reference/2025_top200_ocr.txt,67-72
603050.SH,603050.SH,科林电气,SSE,True,data/reference/2025_top200_ocr.txt,67-72
01083.HK,01083.HK,TG SMART ENERGY,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
600821.SH,600821.SH,金开新能,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600875.SH,600875.SH,东方电气,SSE,True,data/reference/2025_top200_ocr.txt,67-72
01072.HK,01072.HK,DONGFANG ELEC,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
01713.HK,01713.HK,SICHUAN EN INV,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
605117.SH,605117.SH,德业股份,SSE,True,data/reference/2025_top200_ocr.txt,67-72
601666.SH,601666.SH,平煤股份,SSE,True,data/reference/2025_top200_ocr.txt,67-72
001208.SZ,001208.SZ,华菱线缆,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
688155.SH,688155.SH,先惠技术,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600803.SH,600803.SH,新奥股份,SSE,True,data/reference/2025_top200_ocr.txt,67-72
601616.SH,601616.SH,广电电气,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600236.SH,600236.SH,桂冠电力,SSE,True,data/reference/2025_top200_ocr.txt,67-72
002534.SZ,002534.SZ,西子洁能,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
003035.SZ,003035.SZ,南网能源,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
601727.SH,601727.SH,上海电气,SSE,True,data/reference/2025_top200_ocr.txt,67-72
02727.HK,02727.HK,SH ELECTRIC,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
300316.SZ,300316.SZ,晶盛机电,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
00384.HK,00384.HK,CHINA GAS HOLD,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
300693.SZ,300693.SZ,盛弘股份,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
002202.SZ,002202.SZ,金风科技,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
02208.HK,02208.HK,GOLDWIND,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
600938.SH,600938.SH,中国海油,SSE,True,data/reference/2025_top200_ocr.txt,67-72
00883.HK,00883.HK,CNOOC,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
003816.SZ,003816.SZ,中国广核,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
601088.SH,601088.SH,中国神华,SSE,True,data/reference/2025_top200_ocr.txt,67-72
01088.HK,01088.HK,CHINA SHENHUA,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
00182.HK,00182.HK,CONCORD NE,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
03899.HK,03899.HK,CIMC ENRIC,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
688349.SH,688349.SH,三一重能,SSE,True,data/reference/2025_top200_ocr.txt,67-72
300763.SZ,300763.SZ,锦浪科技,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
603063.SH,603063.SH,禾望电气,SSE,True,data/reference/2025_top200_ocr.txt,67-72
000819.SZ,000819.SZ,岳阳兴长,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
300820.SZ,300820.SZ,英杰电气,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
600482.SH,600482.SH,中国动力,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600032.SH,600032.SH,浙江新能,SSE,True,data/reference/2025_top200_ocr.txt,67-72
002518.SZ,002518.SZ,科士达,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
300001.SZ,300001.SZ,特锐德,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
601898.SH,601898.SH,中煤能源,SSE,True,data/reference/2025_top200_ocr.txt,67-72
01898.HK,01898.HK,CHINA COAL,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
301291.SZ,301291.SZ,明阳电气,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
300037.SZ,300037.SZ,新宙邦,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
600905.SH,600905.SH,三峡能源,SSE,True,data/reference/2025_top200_ocr.txt,67-72
688516.SH,688516.SH,奥特维,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600580.SH,600580.SH,卧龙电驱,SSE,True,data/reference/2025_top200_ocr.txt,67-72
688717.SH,688717.SH,艾罗能源,SSE,True,data/reference/2025_top200_ocr.txt,67-72
002128.SZ,002128.SZ,电投能源,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
601615.SH,601615.SH,明阳智能,SSE,True,data/reference/2025_top200_ocr.txt,67-72
01798.HK,01798.HK,DATANG RENEW,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
300390.SZ,300390.SZ,天华新能,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
300207.SZ,300207.SZ,欣旺达,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
603097.SH,603097.SH,江苏华辰,SSE,True,data/reference/2025_top200_ocr.txt,67-72
601857.SH,601857.SH,中国石油,SSE,True,data/reference/2025_top200_ocr.txt,67-72
00857.HK,00857.HK,PETROCHINA,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
600025.SH,600025.SH,华能水电,SSE,True,data/reference/2025_top200_ocr.txt,67-72
300870.SZ,300870.SZ,欧陆通,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
00346.HK,00346.HK,YANCHANG PETRO,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
603659.SH,603659.SH,璞泰来,SSE,True,data/reference/2025_top200_ocr.txt,67-72
002056.SZ,002056.SZ,横店东磁,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
920167.BJ,920167.BJ,同享科技,BSE,True,data/reference/2025_top200_ocr.txt,67-72
600163.SH,600163.SH,中闽能源,SSE,True,data/reference/2025_top200_ocr.txt,67-72
01621.HK,01621.HK,VICO INTL HLDGS,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
002851.SZ,002851.SZ,麦格米特,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
002487.SZ,002487.SZ,大金重工,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
002267.SZ,002267.SZ,陕天然气,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
300750.SZ,300750.SZ,宁德时代,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
03750.HK,03750.HK,CATL,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
603556.SH,603556.SH,海兴电力,SSE,True,data/reference/2025_top200_ocr.txt,67-72
01600.HK,01600.HK,TIAN LUN GAS,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
600028.SH,600028.SH,中国石化,SSE,True,data/reference/2025_top200_ocr.txt,67-72
00386.HK,00386.HK,SINOPEC CORP,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
01733.HK,01733.HK,E-COMMODITIES,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
03337.HK,03337.HK,ANTON OILFIELD,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
601225.SH,601225.SH,陕西煤业,SSE,True,data/reference/2025_top200_ocr.txt,67-72
00228.HK,00228.HK,CHINA ENERGY,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
002560.SZ,002560.SZ,通达股份,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
688348.SH,688348.SH,昱能科技,SSE,True,data/reference/2025_top200_ocr.txt,67-72
688472.SH,688472.SH,阿特斯,SSE,True,data/reference/2025_top200_ocr.txt,67-72
000922.SZ,000922.SZ,佳电股份,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
300514.SZ,300514.SZ,友讯达,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
01407.HK,01407.HK,JY GAS,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
688681.SH,688681.SH,科汇股份,SSE,True,data/reference/2025_top200_ocr.txt,67-72
300772.SZ,300772.SZ,运达股份,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
001289.SZ,001289.SZ,龙源电力,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
00916.HK,00916.HK,CHINA LONGYUAN,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
300014.SZ,300014.SZ,亿纬锂能,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
000533.SZ,000533.SZ,顺钠股份,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
300073.SZ,300073.SZ,当升科技,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
002692.SZ,002692.SZ,远程股份,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
600188.SH,600188.SH,兖矿能源,SSE,True,data/reference/2025_top200_ocr.txt,67-72
01171.HK,01171.HK,YANKUANG ENERGY,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
603053.SH,603053.SH,成都燃气,SSE,True,data/reference/2025_top200_ocr.txt,67-72
603628.SH,603628.SH,清源股份,SSE,True,data/reference/2025_top200_ocr.txt,67-72
601808.SH,601808.SH,中海油服,SSE,True,data/reference/2025_top200_ocr.txt,67-72
02883.HK,02883.HK,CHINA OILFIELD,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
002121.SZ,002121.SZ,科陆电子,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
600101.SH,600101.SH,明星电力,SSE,True,data/reference/2025_top200_ocr.txt,67-72
603806.SH,603806.SH,福斯特,SSE,True,data/reference/2025_top200_ocr.txt,67-72
02386.HK,02386.HK,SINOPEC SEG,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
300105.SZ,300105.SZ,龙源技术,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
688778.SH,688778.SH,厦钨新能,SSE,True,data/reference/2025_top200_ocr.txt,67-72
601222.SH,601222.SH,林洋能源,SSE,True,data/reference/2025_top200_ocr.txt,67-72
000155.SZ,000155.SZ,川能动力,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
002074.SZ,002074.SZ,国轩高科,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
688517.SH,688517.SH,金冠电气,SSE,True,data/reference/2025_top200_ocr.txt,67-72
605222.SH,605222.SH,起帆电缆,SSE,True,data/reference/2025_top200_ocr.txt,67-72
835185.BJ,920185.BJ,贝特瑞,BSE,True,data/reference/2025_top200_ocr.txt,67-72
600452.SH,600452.SH,涪陵电力,SSE,True,data/reference/2025_top200_ocr.txt,67-72
002506.SZ,002506.SZ,协鑫集成,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
601985.SH,601985.SH,中国核电,SSE,True,data/reference/2025_top200_ocr.txt,67-72
